,rank,title,writer,year,citations,url
0,1,教育工学とアクティブラーニング,"山内祐平 - 日本教育工学会論文誌,  - jstage.jst.go.jp",2019, 19,https://www.jstage.jst.go.jp/article/jjet/advpub/0/advpub_42125/_article/-char/ja/
1,2,教育工学について,"東洋 - 日本教育工学雑誌,  - jstage.jst.go.jp",1976, 11,https://www.jstage.jst.go.jp/article/jmet/1/1/1_KJ00003904625/_article/-char/ja/
2,3,教育工学とインフォーマル学習 (< 特集> 情報化社会におけるインフォーマルラーニング),"山内祐平 - 日本教育工学会論文誌,  - jstage.jst.go.jp",2013, 15,https://www.jstage.jst.go.jp/article/jjet/37/3/37_KJ00008987682/_article/-char/ja/
3,4,The present situation and future direction about e-Learning Technologies and e-Pedagogy,"T Okamoto - 電子情報通信学会技術研究報告. ET, 教育工学,  - ci.nii.ac.jp",2005, 10,https://ci.nii.ac.jp/naid/10016435980/
4,5,"教学 IR, ラーニング・アナリティクス, 教育工学","松田岳士， 渡辺雄貴 - 日本教育工学会論文誌,  - jstage.jst.go.jp",2018, 8,https://www.jstage.jst.go.jp/article/jjet/41/3/41_42028/_article/-char/ja/
5,6,Minute Paper,"安岡高志， 及川義道， 吉川政夫， 斉藤章… - … . 教育研究所教育工学 …,  - ci.nii.ac.jp",1991, 10,https://ci.nii.ac.jp/naid/110000999424/
6,7,教員養成・現職研修への教育工学的アプローチの成果と課題,"小柳和喜雄， 木原俊行， 益子典文 - 日本教育工学会論文誌,  - jstage.jst.go.jp",2015, 10,https://www.jstage.jst.go.jp/article/jjet/39/3/39_39099/_article/-char/ja/
7,8,英語 CALL 構築を目的とした日本人及び米国人による読み上げ英語音声データベースの構築 (< 特集> 第二言語学習とその支援に関する教育工学研究),"峯松信明， 富山義弘， 吉本啓， 清水克正， 中川聖一… - 日本教育工学 …,  - jstage.jst.go.jp",2003, 25,https://www.jstage.jst.go.jp/article/jmet/27/3/27_KJ00003905672/_article/-char/ja/
8,9,プレゼンテーションにおける自律的学習のための学習環境デザイン (< 特集> 第二言語学習とその支援に関する教育工学研究),"牧野由香里 - 日本教育工学雑誌,  - jstage.jst.go.jp",2003, 13,https://www.jstage.jst.go.jp/article/jmet/27/3/27_KJ00003905678/_article/-char/ja/
9,10,教育工学-構成主義の 「学習論」 に出あう,"菅井勝雄 - 教育学研究,  - jstage.jst.go.jp",1993, 7,https://www.jstage.jst.go.jp/article/kyoiku1932/60/3/60_3_237/_article/-char/ja/
